Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
UNIFRAX AUSTRALIA PTY LTD,6,,,"GEMX TECHNOLOGIES, LLC",126957.46,,,764631000,244921.6,,,779601000,129123.2,
MSC INDUSTRIAL DIRECT CO.,6,,,GONZALES MFG. CO.,125802,,,764609200,243704,,,791107200,128936.33,
L & A METALWORKS INC.,6,,,SWINDELL DRESSLER,125223.08,,,724281410,242219.1,,,715000050,127825.92,
LVR INC.,6,,,PORTER WARNER INDUSTRIES,125058.73,,,733490500,241454,,,764341000,127469.59,
NASA GLENN RESEARCH CTR.,6,,,GEO. V HAMILTON INC,122058,,,727000440,240426.8,,,733572200,127461.41,
POWER PROCESS EQUIPMENT,6,,,DIVERSIFIED INSULATION,119911.9,,,733151600,237484.2,,,793000200,127265.03,
HIGBEE GASKETS & SEALING,6,,,EMPIRE COMFORT SYSTEM,116671.94,,,793000200,236180,,,738521000,127045.56,
EMPIRE COMFORT SYSTEM,6,,,TRI-CITY INSULATION DIST.,116267,,,764827010,233397,,,734751200,126264.26,
GLASS CRAFTERS,6,,,STECO REFRACTORIES,114431,,,768251210,232329.25,,,732771000,125232.72,
KELLER TECHNOLOGY,6,,,REFRABEC INC.,113269.72,,,764821020,232020,,,766542300,124749.72,
ARI - MARMADUKE,6,,,SPECIALTY PROD & INSUL.,107389,,,727041000,226873.44,,,768221130,123930.81,
AMES TRUE TEMPER,6,,,SOLAR PRODUCTS INC,106800,,,726020023,225735.6,,,770220000,123746,
CGR VALLEY PRODUCTS,6,,,SURFACE COMBUSTION INC,106325.66,,,732663000,222594,,,766162000,122489.81,
DIVERSIFIED INSULATION,6,,,FOSBEL INC / CETEK LTD.,106047,,,764221000,220724.4,,,740382101,120228.84,
BETA RESEARCH & DEV. LTD.,6,,,POWER PLANT SERVICES,105032.79,,,779989340,220320,,,768242007,120093.52,
C & E RECLAMATION INC.,6,,,SP &I- AUBURN MA,104876,,,733505300,220133.5,,,764605020,120043.44,
CAMBRIDGE PRO FAB INC.,6,,,CYTEC,102920.7,,,727070000,215445.6,,,738561000,120002.99,
S & S SUPPLIES &,5,,,INDUSTRIAL SUPPLY CO INC,102750.77,,,742520150,212675.2,,,779987651,119350.58,
SWINDELL DRESSLER,5,,,VEITSCH-RADEX AMERICA INC,100453.8,,,740402402,211681.75,,,764821020,118507.05,
WAHL REFRACTORIES,5,,,MSC INDUSTRIAL DIRECT CO.,100323.52,,,726020015,209583,,,715000500,118420.12,
TRIPLEX INC,5,,,"TAYLOR-SEIDENBACH, INC.",100049.4,,,791107200,205808.94,,,764222050,116650.65,
